step,wall_clock_s,L_MLM,L_contrastive,probe1_auc,val_msk_top1,val_msk_top5,val_msk_ce,train_msk_top1,train_msk_ce
2000,678.6,6.076328,3.434750,0.521054,0.104669,0.145331,6.217560,0.102510,6.239246
4000,1357.3,5.792495,3.425942,0.516645,0.120934,0.170252,6.052687,0.114801,6.089809
6000,2038.3,5.384217,3.429561,0.518956,0.148478,0.194386,5.879559,0.131276,5.980695
8000,2716.4,5.142512,3.432073,0.518660,0.151102,0.203043,5.835045,0.131799,5.973944
10000,3418.9,5.758850,3.423231,0.521932,0.154512,0.203305,5.800136,0.135983,5.926439
12000,4128.4,5.550997,3.447164,0.521304,0.153200,0.203043,5.786806,0.137552,5.893759
14000,4835.6,5.533357,3.432368,0.523338,0.159759,0.216159,5.765772,0.137291,5.875284
16000,5561.2,5.443460,3.442567,0.521151,0.155824,0.208027,5.743982,0.139906,5.850917
18000,6305.1,5.628352,3.453822,0.523714,0.160283,0.214061,5.707984,0.140429,5.823490
20000,6984.9,5.330655,3.467856,0.520323,0.161333,0.213799,5.692757,0.146705,5.801307
22000,7665.5,5.330188,3.401061,0.520675,0.164218,0.216946,5.674954,0.148797,5.787343
24000,8360.2,5.032221,3.424563,0.522839,0.164218,0.218520,5.652242,0.148536,5.775548
26000,9040.6,4.708698,3.419124,0.522956,0.163956,0.223767,5.642640,0.146182,5.755570
28000,9712.5,5.635253,3.431407,0.522101,0.164743,0.221144,5.638835,0.149059,5.757040
